case,diagnostic_png,down_source,down_target,error,eye_over_mouth_norm,final_similarity_scale,method,nose_over_mouth_norm,nose_weighted_median,pre_scale,qc_pass,report_json,rigid_scale,runtime_sec,similarity_median,similarity_p90,source_nose_anchor_distance,target_fit_vertices,target_roi_vertices,upside_down,vertical_z,voxel
005_17_cheek_blowing,,1547,2040,,-0.5491207706489274,0.3116707701091677,facecrop_fpfh_fgr_icp,-0.21823490335624235,0.026389314102622387,0.3116707701091654,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_17_cheek_blowing/005_17_cheek_blowing_scratch_surface_registration_report.json,0.3116707701091677,2.723301649093628,0.01593982683988915,0.04640174504708039,0.2477983545019451,90000,230536,1,-0.941028374998141,0.017835492240983814
005_17_cheek_blowing,,1547,2040,,0.08739668363439249,0.3116707701091654,facecrop_bbox_prescale_only,0.12339598414337957,0.08491894995112667,0.3116707701091654,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_17_cheek_blowing/005_17_cheek_blowing_scratch_surface_registration_report.json,0.3116707701091654,3.412099838256836,0.09347556140617487,0.18452350795379857,0.23174679450545424,90000,230536,1,0.11121313030500395,0.017835492240983814
005_19_brow_raiser,,1508,2040,,-0.5111675106349267,0.29713498056640025,facecrop_fpfh_ransac,-0.24291690366757507,0.009467585718950858,0.30659146607027976,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_19_brow_raiser/005_19_brow_raiser_scratch_surface_registration_report.json,0.29713498056640025,1.8301870822906494,0.014714990011607315,0.11459027086290662,0.3136819657763278,90000,230536,1,-0.8579169814009733,0.017835492240983814
005_19_brow_raiser,,1508,2040,,-0.5046807800437256,0.2971349805664016,facecrop_fpfh_ransac_icp,-0.24933745309316793,0.014982664424841682,0.30659146607027976,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_19_brow_raiser/005_19_brow_raiser_scratch_surface_registration_report.json,0.2971349805664016,2.123004198074341,0.01397263628835541,0.04579300504440012,0.22787035098482494,90000,230536,1,-0.8438976240555128,0.017835492240983814
005_19_brow_raiser,,1508,2040,,-0.5306561291092806,0.3065914660702797,facecrop_fpfh_fgr,-0.2308710227211967,0.03995977876815894,0.30659146607027976,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_19_brow_raiser/005_19_brow_raiser_scratch_surface_registration_report.json,0.3065914660702797,2.422255754470825,0.024891602224032375,0.0552130035778912,0.2875165778154907,90000,230536,1,-0.9111869529259207,0.017835492240983814
005_19_brow_raiser,,1508,2040,,-0.5310204460277052,0.3065914660702837,facecrop_fpfh_fgr_icp,-0.23136243412624038,0.021782720230036023,0.30659146607027976,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_19_brow_raiser/005_19_brow_raiser_scratch_surface_registration_report.json,0.3065914660702837,2.7235214710235596,0.016189434014506142,0.045340870298722205,0.22241822966654465,90000,230536,1,-0.9168936281040581,0.017835492240983814
005_19_brow_raiser,,1508,2040,,0.13367500260166323,0.30659146607027976,facecrop_bbox_prescale_only,0.18569995195832784,0.08663674520142116,0.30659146607027976,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_19_brow_raiser/005_19_brow_raiser_scratch_surface_registration_report.json,0.30659146607027976,3.3651986122131348,0.08698863165237312,0.1749014776779287,0.23242034445063653,90000,230536,1,0.16187621722864537,0.017835492240983814
005_1_neutral,,1586,2040,,-0.5301425566520324,0.30118116469635625,facecrop_fpfh_ransac,-0.23699131404613344,0.019832663006827404,0.31316430004486595,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_1_neutral/005_1_neutral_scratch_surface_registration_report.json,0.30118116469635625,1.8230500221252441,0.01768113020529527,0.07421449014976912,0.27112913368449804,90000,230536,1,-0.8559346340779156,0.017835492240983814
005_1_neutral,,1586,2040,,-0.5277201828370208,0.30118116469635936,facecrop_fpfh_ransac_icp,-0.24684206201842884,0.015423332998893051,0.31316430004486595,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_1_neutral/005_1_neutral_scratch_surface_registration_report.json,0.30118116469635936,2.129809856414795,0.014472553220333603,0.038670733809378174,0.20309248744312272,90000,230536,1,-0.8805392521651976,0.017835492240983814
005_1_neutral,,1586,2040,,-0.47938113651967745,0.3131643000448659,facecrop_fpfh_fgr,-0.2538059379153389,0.04755122890816642,0.31316430004486595,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_1_neutral/005_1_neutral_scratch_surface_registration_report.json,0.3131643000448659,2.4688074588775635,0.036187165107781305,0.07928195398283765,0.23156764675515695,90000,230536,1,-0.7274060930079636,0.017835492240983814
005_1_neutral,,1586,2040,,-0.5505401159407318,0.3131643000448671,facecrop_fpfh_fgr_icp,-0.22615535106393753,0.026320012707161614,0.31316430004486595,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_1_neutral/005_1_neutral_scratch_surface_registration_report.json,0.3131643000448671,2.777287244796753,0.015969741877119227,0.043193054664973786,0.2319538074676658,90000,230536,1,-0.9499763875983307,0.017835492240983814
